Id,favorite_count,party,retweet_count,text
0,196.0,comuns,38.0,"Moltes felicitats @AbacusCoop per aquesta merescuda Medalla d’Or al Mèrit Cívic. Mig segle de compromís social amb l’educació, la cultura i els valors de solidaritat i cooperativisme. Per molts anys més!
"
1,18.0,ppc,14.0,"Quan al @PPCatalunya diem que la sanitat no és prioritat del @govern, també ens referim a això:

"
2,64.0,erc,61.0,"El canvi possible passa per la independència, per construir una de les Repúbliques més modernes i justes d’Europa! "
3,14335.0,jxcat,4745.0,"Per molts anys, Molt Honorable Presidenta. Que tots els que hagin de venir siguin en llibertat! "
4,507.0,psc,216.0,"Un sol poble èrem fins q els independentistes (també dins els Comuns ) vàreu decidir excloure la meitat q no ho som del vostre relat i de la pròpia idea de Catalunya. Però no ho aconseguireu; Catalunya som tots/totes, també els q mai hem comprat el vostre “farol” "
5,7.0,ppc,9.0,".@GirautaOficial de hecho, C's, ni votaron la enmienda a la totalidad que presentamos @PPCatalunya 

"
6,254.0,cs,119.0,"Bienvenido @FranCarrilloCs a la casa común de la libertad y la igualdad en España, @CiudadanosCs. Es una buena noticia que se sigan incorporando cada día más personas como tú con talento y experiencia de la sociedad civil a la vida pública. Mucha suerte, un abrazo. "
7,2.0,ppc,2.0,"Tinc dubtes més que fonamentats, de què un President en funcions pugui nomenar Consellers, que també estarien en funcions."
8,14.0,psc,10.0,"Por qué los muy ricos progresan y los demás no, Antón Costas  via @elpais_economia"
9,79.0,comuns,39.0,"️El #Pladebarris és una de les mesures més importants del mandat per lluitar contra la desigualtat. Avui hem presentat el de #TrinitatNova, q transforma l’espai verd de les Feixes i estrena l’institut escola, entre d'altres mesures. BCN, ciutat de barris!
"
10,54.0,comuns,31.0,"Trobada avui amb @LasKellysBCN per impulsar diverses iniciatives perquè ajudin a acabar una situació de gran injustícia social. 

Unes grans lluitadores. "
11,139.0,cs,57.0,Estudiants de tota Catalunya poden conèixer el funcionament del #Parlament gràcies a @spuni2018 una simulació que els permet ser periodistes i diputats per uns dies. Hem rebut @csspuni2018 i ha estat un plaer compartir el dia a dia del Parlament amb ells. Gaudiu de l'experiència. 
12,408.0,cs,168.0,Totalmente de acuerdo. En estos presupuestos Cs ha exigido el aumento de una semana más de permiso de paternidad (ya conseguimos 2 más el año pasado) y ayuda de 1.000€/año para educación 0-3 años. También presentamos ley contra la precariedad laboral. Es urgente seguir avanzando 
13,4233.0,jxcat,964.0,"Feliç i dolç Any Nou 5779 a la comunitat jueva de tot el món amb els meus millors desitjos de pau per a l’any que comença. #RoshHaShana 🍎🍯
שנה טובה ומתוקה"
14,2696.0,erc,1435.0,"El 21 de desembre tenim una cita ineludible amb les urnes, una cita que entre tots i totes la garantirem #Apoderat21D "
15,339.0,ppc,385.0,.@Albert_Rivera para quedar bien en la Cataluña interior no todo vale.  Que @CiudadanosCs presente una moción en favor de la “Cataluña Republicana Feminista” dice mucho de vuestra coherencia. 
16,9.0,psc,3.0,"Cada día, un haiku. Hoy os ofrezco un poema de Kusatao Nakamura  via @miqueliceta"
17,191.0,erc,55.0,"Orgullosos de participar en l’homenatge q avui hem retut a Doris Benegas, amiga, lluitadora, antifeixista, republicana i internacionalista, compromesa amb els PPCC i amb la Castilla comunera que ens va ensenyar a estimar. Gràcies amics d’Izquierda Castellana @IzcaNacional "
18,8.0,psc,8.0,"Gaza, un pozo de desesperación, editorial de El Periódico de Catalunya, 23.09.2018  vía @Elperiodico"
19,2763.0,erc,724.0,"Malgrat la històrica brutalitat i permanent voluntat assimilacionista de l’Estat, mai no havíem arribat tan lluny (declaració nominal independència) ni mai havíem estat tants. Ara, fer Govern! Imprescindible x avançar i arribar, un dia, a fer el cim. I orgullosos!"
20,130.0,ppc,79.0,"El Procés ha dividido amigos, familiares, a constitucionalistas e independentistas, hace semanas también a los propios independentistas y ahora rizan el rizo.  Se dividen los propios del PdCat. Quién da más??? "
21,1243.0,cs,571.0,[HILO] Torra no solo ha insultado a la mayoría de catalanes que nos sentimos españoles y al conjunto de los españoles. En el Parlament ya ha explicado cuál es su plan ilegal para intentar dar otro golpe a la democracia.
22,92.0,ppc,90.0,"Si dos frases (pero solo dos de verdad) en el whatsapp es una conversación, pues nada... hemos conversado. 🤷🏻‍♂️🤷🏻‍♂️Arrimadas conversa con Iceta, Domènech y Albiol para “desbloquear” la investidura  @lavanguardia "
23,11.0,psc,6.0,".@SonarFestival, 25 anys d’èxits unint música, creativitat i tecnologia de primer ordre. 25 anys de marca Barcelona. Enhorabona! 👏🏼 #Sonar #sonar25 #sonar2018 "
24,1.0,ppc,2.0,"Cuantos años viviendo engañados! Garcilaso de la Vega, era en realidad ""Galceran de Cardona"" y catalán!

"
25,4861.0,jxcat,1455.0,Bona hèsta nacionau d'Aran! Pera libertat de toti es pòbles! #HèstadAran @conselharan 
